treatment_order,city_key,grid_id,station_event_id,opening_month,status,active_families,selected_method,donor_scope,control_city_key,control_grid_id,control_unit_key,candidate_count,candidate_city_count,training_feature_count,holdout_feature_count,training_distance,holdout_rms_standardized_gap,holdout_max_abs_standardized_gap,training_distance_threshold,holdout_rms_threshold,holdout_max_abs_threshold,control_selection_uses_post_outcome,failure_reason
119,shenyang,g00155x00205,shenyang_station_95e2b5660660,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
120,shenyang,g00157x00207,shenyang_station_4b03bc70d95e,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
121,shenyang,g00157x00211,shenyang_station_ff8b652c766f,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
122,shenyang,g00158x00213,shenyang_station_3ba6746013b3,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
123,shenyang,g00159x00216,shenyang_station_fe12384ae9a4,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
124,shenyang,g00163x00219,shenyang_station_e73ef57a2f09,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
125,shenyang,g00165x00221,shenyang_station_9c87bd02bc7a,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
126,shenyang,g00165x00223,shenyang_station_832f6ff958dd,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
127,shenyang,g00165x00226,shenyang_station_b8e69081e0ac,2010-09,pending,,,,,,,,,,,,,,,,,FALSE,
128,guangzhou,g00157x00092,guangzhou_station_83080ad6b382,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
129,guangzhou,g00160x00093,guangzhou_station_58ac29912e11,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
130,guangzhou,g00162x00093,guangzhou_station_b9686a5b6c3f,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
131,guangzhou,g00167x00089,guangzhou_station_2cabcbdfd3e6,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
132,guangzhou,g00168x00087,guangzhou_station_7c7c6e690cf0,2010-10,pending,,,,,,,,,,,,,,,,,FALSE,
