treatment_order,city_key,grid_id,station_event_id,opening_month,outcome_family,status,selected_method,failure_reason
72,wuhan,g00156x00119,wuhan_station_e988457afb1f,2010-07,viirs,pending,,
73,wuhan,g00157x00117,wuhan_station_103be71a8e95,2010-07,housing,pending,,
73,wuhan,g00157x00117,wuhan_station_103be71a8e95,2010-07,poi,pending,,
73,wuhan,g00157x00117,wuhan_station_103be71a8e95,2010-07,population,pending,,
73,wuhan,g00157x00117,wuhan_station_103be71a8e95,2010-07,viirs,pending,,
74,wuhan,g00158x00114,wuhan_station_865a1bca9268,2010-07,housing,pending,,
74,wuhan,g00158x00114,wuhan_station_865a1bca9268,2010-07,poi,pending,,
74,wuhan,g00158x00114,wuhan_station_865a1bca9268,2010-07,population,pending,,
74,wuhan,g00158x00114,wuhan_station_865a1bca9268,2010-07,viirs,pending,,
75,wuhan,g00160x00108,wuhan_station_9a812c111fc9,2010-07,housing,pending,,
75,wuhan,g00160x00108,wuhan_station_9a812c111fc9,2010-07,poi,pending,,
75,wuhan,g00160x00108,wuhan_station_9a812c111fc9,2010-07,population,pending,,
75,wuhan,g00160x00108,wuhan_station_9a812c111fc9,2010-07,viirs,pending,,
76,wuhan,g00160x00112,wuhan_station_0439012f75b6,2010-07,housing,pending,,
76,wuhan,g00160x00112,wuhan_station_0439012f75b6,2010-07,poi,pending,,
76,wuhan,g00160x00112,wuhan_station_0439012f75b6,2010-07,population,pending,,
76,wuhan,g00160x00112,wuhan_station_0439012f75b6,2010-07,viirs,pending,,
77,wuhan,g00160x00142,wuhan_station_ebdd356d111d,2010-07,housing,pending,,
77,wuhan,g00160x00142,wuhan_station_ebdd356d111d,2010-07,poi,pending,,
77,wuhan,g00160x00142,wuhan_station_ebdd356d111d,2010-07,population,pending,,
77,wuhan,g00160x00142,wuhan_station_ebdd356d111d,2010-07,viirs,pending,,
78,wuhan,g00161x00143,wuhan_station_8ec37a97dbec,2010-07,housing,pending,,
78,wuhan,g00161x00143,wuhan_station_8ec37a97dbec,2010-07,poi,pending,,
78,wuhan,g00161x00143,wuhan_station_8ec37a97dbec,2010-07,population,pending,,
78,wuhan,g00161x00143,wuhan_station_8ec37a97dbec,2010-07,viirs,pending,,
79,wuhan,g00162x00106,wuhan_station_8737a81690c8,2010-07,housing,pending,,
79,wuhan,g00162x00106,wuhan_station_8737a81690c8,2010-07,poi,pending,,
79,wuhan,g00162x00106,wuhan_station_8737a81690c8,2010-07,population,pending,,
79,wuhan,g00162x00106,wuhan_station_8737a81690c8,2010-07,viirs,pending,,
80,wuhan,g00162x00144,wuhan_station_f013eb540a09,2010-07,housing,pending,,
80,wuhan,g00162x00144,wuhan_station_f013eb540a09,2010-07,poi,pending,,
80,wuhan,g00162x00144,wuhan_station_f013eb540a09,2010-07,population,pending,,
80,wuhan,g00162x00144,wuhan_station_f013eb540a09,2010-07,viirs,pending,,
81,wuhan,g00165x00145,wuhan_station_7ecdaca111aa,2010-07,housing,pending,,
